0.36011,0.22857,0.16667,0.25714,0.13333
0.20819,0.51429,0.43333,0.51429,0.33333
0.26981,0.62857,0.56667,0.62857,0.56667
0.21518,0.71429,0.7,0.68571,0.7
0.4467,0.8,0.83333,0.74286,0.83333
0.43518,0.74286,0.83333,0.71429,0.8
0.22714,0.6,0.6,0.6,0.63333
0.13105,0.51429,0.46667,0.45714,0.43333
0.18481,0.25714,0.2,0.37143,0.33333
0.44541,0.028571,0,0.085714,0
0.54331,0.28571,0.2,0.22857,0.16667
0.23219,0.45714,0.33333,0.51429,0.43333
0.32363,0.6,0.56667,0.62857,0.56667
0.28631,0.62857,0.66667,0.71429,0.7
0.47696,0.82857,0.9,0.8,0.83333
0.44313,0.85714,0.86667,0.74286,0.83333
0.163,0.62857,0.66667,0.6,0.6
0.21591,0.48571,0.46667,0.51429,0.46667
0.40757,0.34286,0.23333,0.25714,0.2
0.67509,0.11429,0,0.028571,0
0.50203,0.31429,0.23333,0.28571,0.2
0.37729,0.42857,0.4,0.45714,0.33333
0.39628,0.62857,0.56667,0.6,0.56667
0.35124,0.65714,0.7,0.62857,0.66667
0.82059,0.71429,0.8,0.82857,0.9
0.86493,0.65714,0.76667,0.85714,0.86667
0.33209,0.6,0.66667,0.62857,0.66667
0.30893,0.51429,0.46667,0.48571,0.46667
0.54936,0.31429,0.26667,0.34286,0.23333
0.8166,0.11429,0,0.11429,0
0.67342,0.25714,0.23333,0.31429,0.23333
0.56924,0.42857,0.36667,0.42857,0.4
0.58282,0.57143,0.56667,0.62857,0.56667
0.46816,0.62857,0.7,0.65714,0.7
0.59379,0.68571,0.76667,0.71429,0.8
0.38342,0.74286,0.76667,0.65714,0.76667
0.18578,0.62857,0.63333,0.6,0.66667
0.26806,0.51429,0.46667,0.51429,0.46667
0.51555,0.25714,0.26667,0.31429,0.26667
0.92382,0.14286,0.066667,0.11429,0
